fid,SITECODE,NAZEV,total_area,fsb_area,fsb_ratio,avg_year,newest,oldest,avg_year_fsb,newest_fsb,oldest_fsb
16,CZ0314024,Šumava,674846980.422,144185721.218,0.21,2014.61,2024,2001,2014.79,2024,2001
74,CZ0524044,Krkonoše,228880988.166,73197952.248,0.32,2015.84,2023,2001,2015.69,2023,2001
44,CZ0414127,Hradiště,169465247.014,72258007.005,0.43,2016.65,2024,2001,2016.85,2024,2001
51,CZ0424125,Doupovské hory,84407375.885,33006435.990,0.39,2016.47,2024,2001,2016.13,2024,2001
18,CZ0314123,Boletice,71004809.716,19851436.646,0.28,2013.27,2022,2007,2012.64,2022,2007
43,CZ0414110,Krušnohorské plató,89475718.052,16590197.138,0.19,2015.21,2022,2007,2015.36,2022,2007
19,CZ0314124,Blanský les,40562895.282,6055842.369,0.15,2014.43,2022,2001,2014.33,2022,2001
47,CZ0420144,Novodomské a polské rašeliniště,18659951.768,5421246.461,0.29,2014.89,2015,2014,2014.89,2015,2014
49,CZ0420528,Klínovecké Krušnohoří,16275286.792,4897521.788,0.30,2012.98,2013,2011,2012.97,2013,2011
73,CZ0523267,Zaorlicko,3901608.777,3596720.460,0.92,2022.12,2024,2010,2021.80,2024,2010
41,CZ0414026,Úpolínová louka - Křížky,4941803.755,3584014.064,0.73,2009.09,2015,2009,2009.05,2015,2009
92,CZ0714086,Rychlebské hory - Sokolský hřbet,37797872.334,2943005.099,0.08,2010.36,2023,2008,2008.82,2023,2008
95,CZ0810018,Sovinec,17143962.406,2394606.866,0.14,2019.77,2022,2014,2020.55,2022,2014
7,CZ0214042,Padrťsko,5642154.768,2323191.193,0.41,2013.31,2014,2011,2013.87,2014,2012
26,CZ0410020,Ramena Ohře,3802471.212,2273636.094,0.60,2013.51,2016,2013,2013.50,2016,2013
48,CZ0420160,Podmilesy,2298052.314,2157347.889,0.94,2009.00,2009,2009,2009.00,2009,2009
88,CZ0714077,Praděd,38862450.031,1910308.954,0.05,2012.67,2023,2008,2012.51,2023,2008
29,CZ0410040,Pernink,1937500.283,1612231.160,0.83,2014.19,2016,2014,2014.18,2016,2014
31,CZ0410155,Rudné,2218658.767,1560919.997,0.70,2015.37,2022,2008,2014.72,2022,2008
46,CZ0420035,Na loučkách,1738344.314,1550090.771,0.89,2009.57,2023,2009,2009.78,2023,2009
34,CZ0410401,Krásenské rašeliniště,1710652.022,1533212.049,0.90,2011.29,2021,2010,2011.53,2021,2010
37,CZ0410414,Kladské rašeliny,10753411.969,1319556.764,0.12,2019.57,2023,2009,2020.25,2023,2009
2,CZ0210054,Tok,1613245.025,1233374.488,0.76,2023.00,2023,2023,2023.00,2023,2023
53,CZ0510400,Jizerskohorské bučiny,31565479.128,1075077.058,0.03,2019.74,2022,2007,2019.61,2022,2014
6,CZ0214041,Niva Kotelského potoka,1626339.235,967581.124,0.59,2011.65,2017,2011,2011.32,2017,2011
93,CZ0714133,Libavá,33557064.965,954751.515,0.03,2013.18,2020,2003,2010.58,2020,2003
42,CZ0414027,Lomnický rybník,1056776.995,944349.837,0.89,2017.63,2018,2010,2017.84,2018,2010
70,CZ0520600,Trčkov,3344560.067,897095.419,0.27,2022.00,2022,2022,2022.00,2022,2022
15,CZ0314022,Horní Malše,3534712.357,877960.526,0.25,2012.15,2017,2009,2011.99,2017,2009
22,CZ0320005,V Úličkách,943319.387,860588.559,0.91,2003.00,2003,2003,2003.00,2003,2003
52,CZ0510191,Průlom Jizery u Rakous,5308278.744,822491.536,0.15,2017.93,2018,2004,2017.86,2018,2004
59,CZ0510415,Rašeliniště Jizery,5806127.601,757363.443,0.13,2022.89,2023,2009,2022.85,2023,2009
21,CZ0314641,Zlatý potok v Pošumaví,2881398.606,694009.274,0.24,2013.15,2016,2013,2013.25,2016,2013
54,CZ0510402,Rašeliniště Jizerky,6329575.714,688281.320,0.11,2022.81,2023,2017,2023.00,2023,2023
64,CZ0520178,Březinka,977510.328,662883.695,0.68,2009.87,2010,2003,2009.73,2010,2003
97,CZ0813456,Moravice,1017104.932,638229.408,0.63,2015.26,2022,2008,2015.83,2022,2008
82,CZ0614053,Dářská rašeliniště,5492709.165,545915.545,0.10,2022.00,2022,2022,2022.00,2022,2022
71,CZ0520603,Panský vrch,607383.922,539904.071,0.89,2022.00,2022,2022,2022.00,2022,2022
50,CZ0424030,Bezručovo údolí,8576502.185,501670.587,0.06,2014.39,2015,2014,2014.22,2015,2014
32,CZ0410168,Vysoká Pec,1165651.552,452655.841,0.39,2008.00,2008,2008,2008.00,2008,2008
83,CZ0614059,Štíří důl - Řeka,914649.454,430917.864,0.47,2020.80,2021,2020,2020.83,2021,2020
12,CZ0310035,Vltava Rožmberk-Větřní,1948805.458,398508.530,0.20,2012.11,2017,2011,2012.24,2017,2011
61,CZ0514672,Údolí Jizery a Kamenice,2830651.652,391955.568,0.14,2013.84,2021,2001,2011.76,2020,2001
56,CZ0510405,Bukovec,1750451.435,368863.560,0.21,2023.00,2023,2023,2023.00,2023,2023
40,CZ0413190,Ostrovské rybníky,973091.186,346177.554,0.36,2010.00,2010,2010,2010.00,2010,2010
4,CZ0210062,Teslíny,454424.710,325028.446,0.72,2013.62,2017,2011,2013.77,2017,2011
10,CZ0310017,Pláničský rybník-Bobovec,3943408.715,288394.540,0.07,2013.45,2014,2013,2013.63,2014,2013
67,CZ0520511,Žaltman,715010.745,281450.029,0.39,2013.00,2013,2013,2013.00,2013,2013
75,CZ0524046,Orlické hory - sever,7133467.438,264440.344,0.04,2022.00,2022,2022,2022.00,2022,2022
20,CZ0314636,Tejmlov - Nad Zavírkou,273713.669,262702.515,0.96,2021.00,2021,2021,2021.00,2021,2021
91,CZ0714084,Hadce a bučiny u Raškova,6327135.336,261919.599,0.04,2022.87,2023,2008,2021.41,2023,2008
86,CZ0710183,Rychlebské hory - Račí údolí,7335030.052,245309.916,0.03,2008.92,2017,2008,2008.00,2008,2008
66,CZ0520508,Stárkovské bučiny,1353594.706,235907.788,0.17,2018.00,2018,2018,2018.00,2018,2018
60,CZ0514668,Vápenice - Basa,657468.695,229999.810,0.35,2014.00,2014,2014,2014.00,2014,2014
72,CZ0520604,Zdobnice - Říčka,1703239.310,220271.181,0.13,2016.13,2017,2012,2016.80,2017,2012
90,CZ0714081,Rejvíz,2555337.829,218503.364,0.09,2009.01,2010,2009,2009.00,2009,2009
89,CZ0714078,Rabštejn,4848305.089,215691.331,0.04,2022.65,2023,2008,2021.50,2023,2008
13,CZ0310057,Pohoří na Šumavě,1505340.669,209052.736,0.14,2016.00,2016,2016,2016.00,2016,2016
8,CZ0214047,Brda,214119.893,187158.027,0.87,2014.00,2014,2014,2014.00,2014,2014
65,CZ0520507,Kozínek,637280.377,168751.831,0.26,2017.69,2018,2013,2018.00,2018,2018
76,CZ0524047,Peklo,2779434.670,157878.072,0.06,2015.09,2016,2015,2015.67,2016,2015
84,CZ0614136,Chotáry,150302.387,150302.387,1.00,2010.00,2010,2010,2010.00,2010,2010
27,CZ0410021,Nadlesí,330558.369,137255.039,0.42,2010.00,2010,2010,2010.00,2010,2010
87,CZ0714075,Keprník,13788908.983,119547.563,0.01,2012.50,2013,2002,2012.34,2013,2002
77,CZ0530146,Králický Sněžník,12552397.150,89961.842,0.01,2015.32,2023,2010,2014.91,2023,2010
14,CZ0310163,Žofínský prales - Pivonické skály,3014942.263,87739.410,0.03,2016.00,2016,2016,2016.00,2016,2016
3,CZ0210056,Trokavecké louky,140649.305,80637.847,0.57,2011.58,2012,2011,2011.71,2012,2011
24,CZ0322058,Pastviště u Fínů,107144.207,79300.822,0.74,2021.59,2022,2010,2021.40,2022,2010
69,CZ0520519,Adršpašsko-teplické skály,1830642.734,75129.258,0.04,2018.00,2018,2018,2018.00,2018,2018
79,CZ0610513,Suché kopce,64164.669,62978.478,0.98,2010.00,2010,2010,2010.00,2010,2010
23,CZ0320023,Čepičná,1153502.406,55734.202,0.05,2022.00,2022,2022,2022.00,2022,2022
36,CZ0410413,Kaňon Ohře,2577845.714,49857.751,0.02,2022.97,2023,2016,2023.00,2023,2023
63,CZ0520020,Hrádeček,383783.285,45798.927,0.12,2014.00,2014,2014,2014.00,2014,2014
25,CZ0410001,Tisovec,61499.090,42991.531,0.70,2015.00,2015,2015,2015.00,2015,2015
80,CZ0610514,Doubravníček,82896.277,37071.188,0.45,2020.00,2020,2020,2020.00,2020,2020
58,CZ0510412,Jizerské smrčiny,3376897.242,36177.309,0.01,2007.07,2010,2007,2007.00,2007,2007
28,CZ0410023,Blažejský rybník,127916.933,32693.441,0.26,2015.43,2018,2015,2015.75,2018,2015
17,CZ0314044,Opolenec,104813.106,30623.475,0.29,2017.00,2017,2017,2017.00,2017,2017
57,CZ0510408,Smědava,365806.655,21553.850,0.06,2008.76,2022,2007,2010.75,2022,2007
94,CZ0810014,Pstruží potok,334976.394,20396.238,0.06,2016.00,2016,2016,2016.00,2016,2016
35,CZ0410404,Bečovské lesní rybníky,316106.234,15342.055,0.05,2014.00,2014,2014,2014.00,2014,2014
68,CZ0520518,Broumovské stěny,881789.948,15162.147,0.02,2008.23,2013,2001,2009.42,2013,2001
39,CZ0413184,Pískovna Erika,175243.756,5025.391,0.03,2023.00,2023,2023,2023.00,2023,2023
81,CZ0612135,Hodíškovský rybník,43491.040,3240.452,0.07,2015.00,2015,2015,2015.00,2015,2015
1,CZ0210047,Třemšín a Hřebence,842356.878,1189.153,0.00,2015.00,2015,2015,2015.00,2015,2015
5,CZ0212001,Březinský rybník,1037.665,1037.665,1.00,2012.00,2012,2012,2012.00,2012,2012
9,CZ0310014,Libín,1423979.061,925.066,0.00,2015.00,2015,2015,2015.00,2015,2015
11,CZ0310032,Čertova stěna-Luč,593831.727,0.000,0.00,2017.00,2017,2017,,,
30,CZ0410046,Šibeniční vrch,3011.433,0.000,0.00,2011.00,2011,2011,,,
45,CZ0420021,Kokrháč - Hasištejn,630522.066,0.000,0.00,2013.40,2014,2013,,,
55,CZ0510403,Quarré,463732.365,0.000,0.00,2023.00,2023,2023,,,
78,CZ0610401,Žákova hora,570734.419,0.000,0.00,2012.00,2012,2012,,,
85,CZ0710034,Lánský luh,303558.939,0.000,0.00,2012.00,2012,2012,,,
96,CZ0810032,Ptačí hora,1245416.977,0.000,0.00,2021.97,2022,2021,,,
33,CZ0410176,Vysoký kámen,,,,,,,,,
38,CZ0410438,Močál u Bystřiny,,,,,,,,,
62,CZ0520008,Kamenná,,,,,,,,,
